bridge,seed,method,macro_edge_f1,family_mean_edge_precision,family_mean_edge_recall,family_mean_split_exact,family_mean_merge_exact,family_mean_overall_exact,n_pred_edges_total,mean_edges_per_family
Celer,416,DUAL_SOFTMAX,0.2559778184778185,1.0,0.1473965848965849,0.0,0.0,0.0,48,2.0
Celer,417,UOT_KR,0.4296334712114511,0.38194444444444436,0.5009882478632478,0.0,0.0,0.0,432,18.0
Celer,417,RAW_UOT_PLAN,0.09501123016989889,0.08564814814814814,0.10919184981684982,0.0,0.0,0.0,375,15.625
Celer,417,CONDITIONAL_UOT,0.41591819343367337,0.3703703703703704,0.48412316849816844,0.0,0.0,0.0,432,18.0
Celer,417,SUPPORT_PLUS_K,0.3748670570700369,0.3333333333333333,0.4389842796092796,0.0,0.0,0.0,393,16.375
Celer,417,HUNGARIAN_1TO1,0.36637222730972735,0.3799603174603175,0.3571415852665852,0.0,0.0,0.0,290,12.083333333333334
Celer,417,THRESHOLD_MM,0.047619047619047616,0.027777777777777776,0.16666666666666666,0.0,0.0,0.0,354,14.75
Celer,417,DUAL_SOFTMAX,0.24905696155696155,1.0,0.14285587098087096,0.0,0.0,0.0,48,2.0
Celer,418,UOT_KR,0.4410750374711288,0.38425925925925924,0.5235885642135641,0.0,0.0,0.0,432,18.0
Celer,418,RAW_UOT_PLAN,0.10319671728340458,0.09027777777777779,0.12175099206349205,0.0,0.0,0.0,351,14.625
Celer,418,CONDITIONAL_UOT,0.4047903152489066,0.35202991452991456,0.4824179292929292,0.0,0.0,0.0,436,18.166666666666668
Celer,418,SUPPORT_PLUS_K,0.3701804296279915,0.32175925925925924,0.44015376984126986,0.0,0.0,0.0,369,15.375
Celer,418,HUNGARIAN_1TO1,0.38572771523139177,0.3958333333333333,0.37823322510822505,0.0,0.0,0.0,288,12.0
Celer,418,THRESHOLD_MM,0.047619047619047616,0.027777777777777776,0.16666666666666666,0.0,0.0,0.0,342,14.25
Celer,418,DUAL_SOFTMAX,0.25889446201946203,1.0,0.14906655844155844,0.0,0.0,0.0,48,2.0
Celer,419,UOT_KR,0.4564964801710158,0.3981481481481481,0.5433779761904761,0.0,0.0,0.0,432,18.0
Celer,419,RAW_UOT_PLAN,0.1128715119088571,0.09953703703703705,0.13268022486772488,0.0,0.0,0.0,414,17.25
Celer,419,CONDITIONAL_UOT,0.4434177764673121,0.386574074074074,0.528166335978836,0.0,0.0,0.0,432,18.0
Celer,419,SUPPORT_PLUS_K,0.4370520357265713,0.38194444444444436,0.5190724206349207,0.0,0.0,0.0,423,17.625
