grid,n,m,arm,repeat,status,wall_s,peak_rss_mb,n_edges,solver
200x200,200,200,EC_UOT_Q,1,OK,3.1869,322.027,724,"{""converged"": true, ""final_err"": 9.630675160008324e-12, ""n_iter"": null}"
200x200,200,200,EC_UOT_Q,2,OK,3.2391,322.094,724,"{""converged"": true, ""final_err"": 9.630675160008324e-12, ""n_iter"": null}"
200x200,200,200,EC_UOT_Q,3,OK,3.1158,322.773,724,"{""converged"": true, ""final_err"": 9.630675160008324e-12, ""n_iter"": null}"
200x200,200,200,EC_UOT_Q,median,MEDIAN,3.1869,322.094,724,
200x200,200,200,BALANCED_OT,1,OK,3.1606,322.477,746,"{""converged"": true, ""final_err"": 5.079477546101582e-12}"
200x200,200,200,BALANCED_OT,2,OK,3.2417,322.625,746,"{""converged"": true, ""final_err"": 5.079477546101582e-12}"
200x200,200,200,BALANCED_OT,3,OK,3.2706,321.781,746,"{""converged"": true, ""final_err"": 5.079477546101582e-12}"
200x200,200,200,BALANCED_OT,median,MEDIAN,3.2417,322.477,746,
200x200,200,200,THRESHOLD_MM,1,OK,0.0018,34.574,1523,{}
200x200,200,200,THRESHOLD_MM,2,OK,0.0018,34.668,1523,{}
200x200,200,200,THRESHOLD_MM,3,OK,0.0017,34.738,1523,{}
200x200,200,200,THRESHOLD_MM,median,MEDIAN,0.0018,34.668,1523,
200x200,200,200,ONETOONE_CTRL,1,OK,0.0009,34.668,200,{}
200x200,200,200,ONETOONE_CTRL,2,OK,0.0009,34.672,200,{}
200x200,200,200,ONETOONE_CTRL,3,OK,0.0009,34.633,200,{}
200x200,200,200,ONETOONE_CTRL,median,MEDIAN,0.0009,34.668,200,
