bridge,seed,k,epsilon,lambda,method,precision,recall,macro_edge_f1,micro_edge_f1,n_pred_edges,n_templates,tp_total,fp_total,fn_total,solver_iterations,solver_converged,solver_final_residual,mass_retained_fraction,cost_matrix_sha256,plan_sha256,solver_run_id,support_violations
Celer,202,3,0.05,0.5,SUPPORT_PLUS_K_D4,0.38835470085470086,0.5868055555555555,0.46710526315789475,0.49779086892488955,391,48,169,222,119,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,5,0.05,0.5,AMOUNT_FREE_COST_D4,0.19999999999999998,0.8333333333333334,0.3225806451612903,0.3225806451612903,1200,48,240,960,48,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,5,0.05,0.5,CONDITIONAL_UOT_D4,0.19500000000000003,0.8125,0.314516129032258,0.31451612903225806,1200,48,234,966,54,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,5,0.05,0.5,RAW_UOT_PLAN_D4,0.14312500000000003,0.59375,0.23061414392059554,0.25184094256259204,1070,48,171,899,117,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,5,0.05,0.5,SUPPORT_PLUS_K_D4,0.17760416666666667,0.7361111111111112,0.28604594330400784,0.31314623338257014,1066,48,212,854,76,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,7,0.05,0.5,AMOUNT_FREE_COST_D4,0.16544669669669668,1.0,0.28391472868217055,0.2838836865450961,1741,48,288,1453,0,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,7,0.05,0.5,CONDITIONAL_UOT_D4,0.16572822822822822,1.0,0.2843300110741971,0.2843040473840079,1738,48,288,1450,0,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,7,0.05,0.5,RAW_UOT_PLAN_D4,0.14893018018018014,0.888888888888889,0.2550018456995201,0.2799343903772553,1541,48,256,1285,32,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,7,0.05,0.5,SUPPORT_PLUS_K_D4,0.14761574897265686,0.8819444444444443,0.25271405257329366,0.27850877192982454,1536,48,254,1282,34,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
Celer,202,10,0.05,0.5,AMOUNT_FREE_COST_D4,0.15277777777777776,1.0,0.264367816091954,0.2589928057553957,1936,48,288,1648,0,129,True,9.213377826959381e-12,0.7868493050223937,2b4576b33c880c17b594d8a81ec868c2b2b093b86d4d78a1d74a487d79d1f662,d39aa1f9ea94fe35d3c12c1fa5713b02fdc7a0cea7f71cedc12bbbbeee36336a,unit__Celer__s202__2b4576b33c88,0
