k,method,epsilon,lambda,n_bridges,n_seeds,n_cells,macro_edge_f1_mean_of_cells,macro_edge_f1_std_of_cells,precision_mean_of_cells,recall_mean_of_cells,macro_edge_f1_min_of_cells,macro_edge_f1_max_of_cells,mean_n_pred_edges,mean_n_templates,n_cells_all_converged,max_solver_final_residual,total_support_violations,mean_macro_edge_f1_Celer,std_macro_edge_f1_Celer,n_seeds_Celer,mean_precision_Celer,mean_recall_Celer,mean_macro_edge_f1_Multi,std_macro_edge_f1_Multi,n_seeds_Multi,mean_precision_Multi,mean_recall_Multi,mean_macro_edge_f1_Poly,std_macro_edge_f1_Poly,n_seeds_Poly,mean_precision_Poly,mean_recall_Poly,std_over_bridge_means_macro_edge_f1
5,RAW_UOT_PLAN_D4,0.05,0.5,3,5,15,0.23742822838252942,0.022851113025261306,0.1485115740740741,0.6050925925925925,0.18726736972704713,0.25806451612903225,1090.4666666666667,48.0,15,9.676434981380345e-12,0,0.243631100082713,0.009971252218018438,5,0.15116666666666667,0.6277777777777777,0.21058906893584312,0.015727057117227394,5,0.1343680555555556,0.5208333333333333,0.25806451612903225,0.0,5,0.16,0.6666666666666666,0.024337958717711432
5,SUPPORT_PLUS_K_D4,0.05,0.5,3,5,15,0.3111732241772564,0.014963942551221026,0.1930069444444445,0.8032407407407409,0.27679771505376344,0.3225806451612903,1161.0666666666666,48.0,15,9.676434981380345e-12,0,0.3072091886608016,0.014014943780573852,5,0.1905208333333333,0.7930555555555556,0.3037298387096774,0.01832324606387012,5,0.1885,0.7833333333333333,0.3225806451612903,0.0,5,0.19999999999999998,0.8333333333333334,0.01003112202850855
7,AMOUNT_FREE_COST_D4,0.05,0.5,3,5,15,0.2827618298553797,0.0037887398351396195,0.16601898642339816,0.9879629629629629,0.27030465912069807,0.28802141011443333,1723.4,48.0,15,9.676434981380345e-12,0,0.2836655592469546,0.0004835063454200783,5,0.16527777777777775,1.0,0.28087131459382464,0.006568436942123398,5,0.16744509740833266,0.9638888888888889,0.2837486157253599,0.00039639593198437673,5,0.16533408408408407,1.0,0.001637760837326562
7,CONDITIONAL_UOT_D4,0.05,0.5,3,5,15,0.28199198061679315,0.006450816034387662,0.16517768165528418,0.9824074074074074,0.2599725870153701,0.2852990033222591,1709.8,48.0,15,9.676434981380345e-12,0,0.2844471279944045,0.0008199103770353617,5,0.16582961309523808,0.9993055555555556,0.2764236089833284,0.00930372231455425,5,0.16344967811686076,0.9479166666666667,0.2851052048726467,7.581984461586954e-05,5,0.16625375375375376,1.0,0.004833563724696399
7,RAW_UOT_PLAN_D4,0.05,0.5,3,5,15,0.2622826775277342,0.024587614529223006,0.15414913190132484,0.9060185185185186,0.21305248790081954,0.28543743078626793,1580.7333333333333,48.0,15,9.676434981380345e-12,0,0.2689793281653746,0.01092580963587889,5,0.15700075075075073,0.9402777777777779,0.2325143301099654,0.012938723867711261,5,0.13902397228055122,0.7777777777777779,0.28535437430786265,0.0001238132877906796,5,0.1664226726726727,1.0,0.027049055714218385
7,SUPPORT_PLUS_K_D4,0.05,0.5,3,5,15,0.2775192857094665,0.010578503138944885,0.16298198316435544,0.9689814814814814,0.25271405257329366,0.28802141011443333,1690.5333333333333,48.0,15,9.676434981380345e-12,0,0.27041510246800016,0.011967842405502499,5,0.15763735775248933,0.951388888888889,0.27850488090624653,0.011711440414049605,5,0.16604958273156803,0.9555555555555555,0.28363787375415284,0.00042666209876584583,5,0.165259009009009,1.0,0.006666255961213407
10,AMOUNT_FREE_COST_D4,0.05,0.5,3,5,15,0.2620984723687539,0.004139103043876847,0.15149487665112665,0.994212962962963,0.2530456200471192,0.26765188834154346,1945.0666666666666,48.0,15,9.676434981380345e-12,0,0.2617749696580281,0.0049313827361905154,5,0.1510863442113442,1.0,0.2621230747060332,0.0036457241857303594,5,0.15190255924630922,0.9826388888888887,0.26239737274220026,0.004702075882849371,5,0.15149572649572648,1.0,0.0003119300499254222
10,CONDITIONAL_UOT_D4,0.05,0.5,3,5,15,0.2720039666084634,0.007233681201050996,0.15860909615076277,0.9847222222222222,0.2540990432513421,0.2807881773399014,1820.2666666666667,48.0,15,9.676434981380345e-12,0,0.27325472085385877,0.005113478871921134,5,0.15855444555444553,1.0,0.2644826065803077,0.0058848323561360655,5,0.15544515669515668,0.9541666666666666,0.2782745723912237,0.0007368244758765464,5,0.1618276862026862,1.0,0.006980535070404703
10,RAW_UOT_PLAN_D4,0.05,0.5,3,5,15,0.25941497278241404,0.020591262338217238,0.15192272233938897,0.920138888888889,0.2230557198229612,0.28243021346469616,1674.8,48.0,15,9.676434981380345e-12,0,0.2597848716334473,0.013267175220506987,5,0.15091273310023307,0.9458333333333334,0.23701505492397548,0.008473885093654885,5,0.14096654502904502,0.8145833333333334,0.2814449917898193,0.0014686817586205497,5,0.16388888888888886,1.0,0.022217277991367777
10,SUPPORT_PLUS_K_D4,0.05,0.5,3,5,15,0.25714953397743395,0.008427388434540665,0.14862103367311702,0.9747685185185185,0.2369674518792023,0.26709571481540334,1909.0666666666666,48.0,15,9.676434981380345e-12,0,0.25015133992547745,0.009943362959188838,5,0.14447595806970803,0.951388888888889,0.25995531881838513,0.00604561040924231,5,0.1505746221371221,0.9729166666666667,0.2613419431884393,0.004485965758992741,5,0.15081252081252078,1.0,0.006100141127673736
15,AMOUNT_FREE_COST_D4,0.05,0.5,3,5,15,0.23294380039591125,0.011198265500993924,0.1333432061471062,1.0,0.20916308369732392,0.2494551570790178,2441.0,48.0,15,9.676434981380345e-12,0,0.23159212344422125,0.009572388607877923,5,0.13250018074031228,1.0,0.2408305505460251,0.006433172945017778,5,0.13834513435003631,1.0,0.2264087271974872,0.013132741059309519,5,0.12918430335097,1.0,0.007305307667059993
15,CONDITIONAL_UOT_D4,0.05,0.5,3,5,15,0.2588960185618657,0.009072002223758351,0.15053524202135313,0.986111111111111,0.24048337616397333,0.27137467394696313,2048.2,48.0,15,9.676434981380345e-12,0,0.2606466672574795,0.0075949008402787874,5,0.15082907447490781,1.0,0.24934775678122753,0.005691577769435475,5,0.14610844171260837,0.9583333333333334,0.26669363164689025,0.0020449093622635192,5,0.1546682098765432,1.0,0.008804454659738895
15,RAW_UOT_PLAN_D4,0.05,0.5,3,5,15,0.25167249751236,0.018230874283826918,0.14677030643566655,0.9354166666666667,0.22331574675324672,0.2766567776679,1865.2666666666667,48.0,15,9.676434981380345e-12,0,0.2460351438517332,0.01276394693249952,5,0.14219683211572248,0.9555555555555555,0.23594760179116298,0.00794085378660651,5,0.13950476040178475,0.8506944444444444,0.27303474689418383,0.004248996280606594,5,0.1586093267894924,1.0,0.019175476531089593
15,SUPPORT_PLUS_K_D4,0.05,0.5,3,5,15,0.23034555343120602,0.012045898532077928,0.1319518005615919,0.9800925925925926,0.20804915625054896,0.24827762320288635,2363.866666666667,48.0,15,9.676434981380345e-12,0,0.22190422398772774,0.010299470275582263,5,0.12702540612908114,0.951388888888889,0.24065538523727548,0.005119935676457007,5,0.13837013410235127,0.9888888888888889,0.2284770510686148,0.012217612332899658,5,0.1304598614533433,1.0,0.009514199275866136
