bridge,seed,template_id,truth_side,representation_side
Celer,413,eth_flow_c3144a68e43a47__r7fam02__inst00,1,1
Celer,413,eth_flow_d1c00a8bd20443__r7fam00__inst00,1,1
Celer,413,eth_flow_d4cb4bfbbe0541__r7fam15__inst00,1,1
Celer,413,eth_flow_d992e003098442__r7fam13__inst00,1,1
Celer,413,eth_flow_dc67db0d1bf444__r7fam09__inst00,1,1
Celer,413,eth_flow_dd477abcf9d74a__r7fam17__inst01,1,1
Celer,413,eth_flow_e2584ad93a0c42__r7fam20__inst00,1,1
Celer,413,eth_flow_e3c65de37bd94a__r7fam00__inst01,1,1
Celer,413,eth_flow_ec7d49320f504b__r7fam22__inst01,1,1
Celer,413,eth_flow_ecfa5cd33b1f48__r7fam07__inst00,1,1
Celer,413,eth_flow_efcacc96435140__r7fam13__inst01,1,1
Celer,413,eth_flow_f0ff5b9460b24d__r7fam12__inst01,1,1
Celer,413,eth_flow_f294128be8784f__r7fam18__inst01,1,1
Celer,413,eth_flow_fbac4d0905e04a__r7fam05__inst01,1,1
Celer,413,eth_flow_ff1014e6148b43__r7fam02__inst01,1,1
Celer,414,eth_flow_055c11bff68b40__r7fam00__inst00,1,1
Celer,414,eth_flow_0a520f59f8b04a__r7fam20__inst00,1,1
Celer,414,eth_flow_0ed5d33ea2e642__r7fam13__inst01,1,1
Celer,414,eth_flow_17034316f11a4b__r7fam15__inst01,1,1
Celer,414,eth_flow_227b4d019af749__r7fam16__inst01,1,1
Celer,414,eth_flow_2a0a8bfe6b7e46__r7fam12__inst01,1,1
Celer,414,eth_flow_2b6527d929f64a__r7fam23__inst00,1,1
Celer,414,eth_flow_3b1dbe9d185941__r7fam10__inst00,1,1
Celer,414,eth_flow_3e301acfdbe64e__r7fam04__inst01,1,1
Celer,414,eth_flow_3e7572f9e27849__r7fam04__inst00,1,1
Celer,414,eth_flow_3e82de28b2784e__r7fam23__inst01,1,1
Celer,414,eth_flow_43ea4e1eee4745__r7fam03__inst00,1,1
Celer,414,eth_flow_49ba2d7f8d164b__r7fam13__inst00,1,1
Celer,414,eth_flow_4aa3319ea77842__r7fam18__inst01,1,1
Celer,414,eth_flow_5719736ab77340__r7fam12__inst00,1,1
Celer,414,eth_flow_599a2d7ac63747__r7fam18__inst00,1,1
Celer,414,eth_flow_602c1daf245a4f__r7fam02__inst00,1,1
Celer,414,eth_flow_6509a009e9954c__r7fam06__inst00,1,1
Celer,414,eth_flow_6885460ea6734b__r7fam20__inst01,1,1
Celer,414,eth_flow_688fff15e8e443__r7fam07__inst01,1,1
Celer,414,eth_flow_77ad938fd8a740__r7fam11__inst00,1,1
Celer,414,eth_flow_7aed2569fac542__r7fam08__inst00,1,1
Celer,414,eth_flow_7b5bf17b1df44b__r7fam19__inst01,1,1
Celer,414,eth_flow_7ecd2b8d997f4c__r7fam16__inst00,1,1
Celer,414,eth_flow_7f54aa6d02ff4a__r7fam14__inst01,1,1
Celer,414,eth_flow_8449afd6d1c94a__r7fam10__inst01,1,1
Celer,414,eth_flow_85c6d5fa6c8c43__r7fam05__inst01,1,1
Celer,414,eth_flow_8b18bab6992d49__r7fam00__inst01,1,1
Celer,414,eth_flow_8ef492a3815d4b__r7fam14__inst00,1,1
Celer,414,eth_flow_8f1b05d2d69545__r7fam03__inst01,1,1
Celer,414,eth_flow_94ae216a661040__r7fam05__inst00,1,1
Celer,414,eth_flow_963029d73e6a49__r7fam21__inst01,1,1
Celer,414,eth_flow_96eeb1ebc4784e__r7fam11__inst01,1,1
Celer,414,eth_flow_9e72022152194d__r7fam06__inst01,1,1
Celer,414,eth_flow_9f2e9ab22c3847__r7fam15__inst00,1,1
Celer,414,eth_flow_ac1c7cf38bb94e__r7fam08__inst01,1,1
Celer,414,eth_flow_b5bb49db2f324c__r7fam17__inst01,1,1
Celer,414,eth_flow_d01608ad4b5b4a__r7fam17__inst00,1,1
Celer,414,eth_flow_d6f6a8a1e85641__r7fam01__inst00,1,1
Celer,414,eth_flow_d863aa5e5aae4c__r7fam07__inst00,1,1
Celer,414,eth_flow_de7ae2d1c0cd4b__r7fam02__inst01,1,1
