bridge,seed,k,epsilon,lambda,method,delta_s_total,delta_t_total,delta_total,marginal_violation_row_l1,marginal_violation_col_l1,transport_mass_total,mass_retained_fraction,precision,recall,macro_edge_f1,sinkhorn_iterations,sinkhorn_converged,run_id
Celer,203,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.4806593792694477,0.4806593792694479,0.9613187585388956,0.4806593792694477,0.4806593792694479,0.5193406207305524,0.5193406207305524,0.16,0.6666666666666666,0.25806451612903225,70,True,2026-09-17T03:14:37Z__pid29540
Celer,203,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.29162587981851323,0.29162587981851307,0.5832517596370264,0.29162587981851323,0.29162587981851307,0.7083741201814869,0.7083741201814869,0.1975,0.8229166666666666,0.3185483870967742,131,True,2026-09-17T03:14:35Z__pid29540
Celer,203,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.29162587981851323,0.29162587981851307,0.5832517596370264,0.29162587981851323,0.29162587981851307,0.7083741201814869,0.7083741201814869,0.16,0.6666666666666666,0.25806451612903225,131,True,2026-09-17T03:14:35Z__pid29540
Celer,203,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.16227537702108988,0.16227537702108952,0.32455075404217937,0.16227537702108988,0.16227537702108952,0.8377246229789104,0.8377246229789104,0.19833333333333333,0.8263888888888888,0.3198924731182795,249,True,2026-09-17T03:14:37Z__pid29540
Celer,203,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.16227537702108988,0.16227537702108952,0.32455075404217937,0.16227537702108988,0.16227537702108952,0.8377246229789104,0.8377246229789104,0.16,0.6666666666666666,0.25806451612903225,249,True,2026-09-17T03:14:37Z__pid29540
Celer,203,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.08585595292650011,0.08585595292650008,0.1717119058530002,0.08585595292650011,0.08585595292650008,0.9141440470735,0.9141440470735,0.19833333333333333,0.8263888888888888,0.31989247311827956,478,True,2026-09-17T03:14:37Z__pid29540
Celer,203,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.08585595292650011,0.08585595292650008,0.1717119058530002,0.08585595292650011,0.08585595292650008,0.9141440470735,0.9141440470735,0.16,0.6666666666666666,0.25806451612903225,478,True,2026-09-17T03:14:37Z__pid29540
Celer,204,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7866752421734894,0.7866752421734893,1.5733504843469786,0.7866752421734894,0.7866752421734893,0.21332475782651078,0.21332475782651078,0.1975,0.8229166666666666,0.3185483870967742,33,True,2026-09-17T03:14:40Z__pid29540
Celer,204,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7866752421734894,0.7866752421734893,1.5733504843469786,0.7866752421734894,0.7866752421734893,0.21332475782651078,0.21332475782651078,0.14979166666666668,0.6215277777777777,0.24136683209263854,33,True,2026-09-17T03:14:40Z__pid29540
Celer,204,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.5117108856769721,0.5117108856769721,1.0234217713539442,0.5117108856769721,0.5117108856769721,0.488289114323028,0.488289114323028,0.19833333333333333,0.8263888888888888,0.31989247311827956,70,True,2026-09-17T03:14:40Z__pid29540
Celer,204,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.5117108856769721,0.5117108856769721,1.0234217713539442,0.5117108856769721,0.5117108856769721,0.488289114323028,0.488289114323028,0.15000000000000002,0.6249999999999999,0.24193548387096775,70,True,2026-09-17T03:14:40Z__pid29540
Celer,204,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.31769789107861734,0.31769789107861723,0.6353957821572346,0.31769789107861734,0.31769789107861723,0.6823021089213828,0.6823021089213828,0.19916666666666663,0.8298611111111112,0.32123655913978494,131,True,2026-09-17T03:14:38Z__pid29540
