bridge,seed,k,epsilon,lambda,method,delta_s_total,delta_t_total,delta_total,marginal_violation_row_l1,marginal_violation_col_l1,transport_mass_total,mass_retained_fraction,precision,recall,macro_edge_f1,sinkhorn_iterations,sinkhorn_converged,run_id
Multi,205,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.8211140695419443,0.8211140695419443,1.6422281390838886,0.8211140695419443,0.8211140695419443,0.17888593045805565,0.17888593045805565,0.14006944444444447,0.5451388888888888,0.21947634951667214,33,True,2026-09-17T03:14:58Z__pid29540
Multi,205,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.5541576045730867,0.5541576045730867,1.1083152091461734,0.5541576045730867,0.5541576045730867,0.44584239542691323,0.44584239542691323,0.19333333333333336,0.7951388888888888,0.31031586021505375,71,True,2026-09-17T03:14:58Z__pid29540
Multi,205,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.5541576045730867,0.5541576045730867,1.1083152091461734,0.5541576045730867,0.5541576045730867,0.44584239542691323,0.44584239542691323,0.14093750000000002,0.548611111111111,0.22094941348973607,71,True,2026-09-17T03:14:58Z__pid29540
Multi,205,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.3494059832659785,0.3494059832659785,0.698811966531957,0.3494059832659785,0.3494059832659785,0.6505940167340215,0.6505940167340215,0.19499999999999998,0.8020833333333334,0.3130040322580645,132,True,2026-09-17T03:14:56Z__pid29540
Multi,205,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.3494059832659785,0.3494059832659785,0.698811966531957,0.3494059832659785,0.3494059832659785,0.6505940167340215,0.6505940167340215,0.14034722222222223,0.548611111111111,0.2205051183881829,132,True,2026-09-17T03:14:56Z__pid29540
Multi,205,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.19928118863710673,0.19928118863710687,0.3985623772742136,0.19928118863710673,0.19928118863710687,0.8007188113628932,0.8007188113628932,0.19416666666666668,0.7986111111111112,0.31165994623655907,251,True,2026-09-17T03:14:58Z__pid29540
Multi,205,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.19928118863710673,0.19928118863710687,0.3985623772742136,0.19928118863710673,0.19928118863710687,0.8007188113628932,0.8007188113628932,0.14034722222222223,0.548611111111111,0.2205051183881829,251,True,2026-09-17T03:14:58Z__pid29540
Multi,205,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.10691221281719224,0.10691221281719218,0.21382442563438442,0.10691221281719224,0.10691221281719218,0.8930877871828078,0.8930877871828078,0.19625,0.8020833333333334,0.31426411290322576,482,True,2026-09-17T03:14:59Z__pid29540
Multi,205,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.10691221281719224,0.10691221281719218,0.21382442563438442,0.10691221281719224,0.10691221281719218,0.8930877871828078,0.8930877871828078,0.14034722222222223,0.548611111111111,0.2205051183881829,482,True,2026-09-17T03:14:59Z__pid29540
Poly,201,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7839345725871822,0.7839345725871822,1.5678691451743645,0.7839345725871822,0.7839345725871822,0.21606542741281784,0.21606542741281784,0.1975,0.8229166666666666,0.3185483870967742,33,True,2026-09-17T03:15:01Z__pid29540
Poly,201,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7839345725871822,0.7839345725871822,1.5678691451743645,0.7839345725871822,0.7839345725871822,0.21606542741281784,0.21606542741281784,0.15979166666666667,0.6631944444444443,0.25749586435070304,33,True,2026-09-17T03:15:01Z__pid29540
Poly,201,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.5032201568844026,0.5032201568844026,1.0064403137688052,0.5032201568844026,0.5032201568844026,0.4967798431155976,0.4967798431155976,0.19499999999999998,0.8125,0.314516129032258,70,True,2026-09-17T03:15:01Z__pid29540
Poly,201,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.5032201568844026,0.5032201568844026,1.0064403137688052,0.5032201568844026,0.5032201568844026,0.4967798431155976,0.4967798431155976,0.16,0.6666666666666666,0.25806451612903225,70,True,2026-09-17T03:15:01Z__pid29540
Poly,201,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.30730483203163467,0.3073048320316347,0.6146096640632694,0.30730483203163467,0.3073048320316347,0.6926951679683654,0.6926951679683654,0.19583333333333333,0.8159722222222223,0.3158602150537634,131,True,2026-09-17T03:14:59Z__pid29540
Poly,201,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.30730483203163467,0.3073048320316347,0.6146096640632694,0.30730483203163467,0.3073048320316347,0.6926951679683654,0.6926951679683654,0.16,0.6666666666666666,0.25806451612903225,131,True,2026-09-17T03:14:59Z__pid29540
Poly,201,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.17160587198557092,0.1716058719855711,0.343211743971142,0.17160587198557092,0.1716058719855711,0.8283941280144292,0.8283941280144292,0.19583333333333333,0.8159722222222222,0.31586021505376344,250,True,2026-09-17T03:15:01Z__pid29540
Poly,201,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.17160587198557092,0.1716058719855711,0.343211743971142,0.17160587198557092,0.1716058719855711,0.8283941280144292,0.8283941280144292,0.16,0.6666666666666666,0.25806451612903225,250,True,2026-09-17T03:15:01Z__pid29540
Poly,201,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.09095079332680107,0.09095079332680085,0.18190158665360193,0.09095079332680107,0.09095079332680085,0.9090492066731989,0.9090492066731989,0.19583333333333333,0.8159722222222222,0.3158602150537634,479,True,2026-09-17T03:15:01Z__pid29540
Poly,201,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.09095079332680107,0.09095079332680085,0.18190158665360193,0.09095079332680107,0.09095079332680085,0.9090492066731989,0.9090492066731989,0.16,0.6666666666666666,0.25806451612903225,479,True,2026-09-17T03:15:01Z__pid29540
Poly,202,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7446480296830904,0.7446480296830903,1.4892960593661808,0.7446480296830904,0.7446480296830903,0.25535197031690954,0.2553519703169096,0.1975,0.8229166666666666,0.3185483870967742,33,True,2026-09-17T03:15:03Z__pid29540
Poly,202,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7446480296830904,0.7446480296830903,1.4892960593661808,0.7446480296830904,0.7446480296830903,0.25535197031690954,0.2553519703169096,0.16,0.6666666666666666,0.25806451612903225,33,True,2026-09-17T03:15:03Z__pid29540
Poly,202,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.4679739554201293,0.467973955420129,0.9359479108402583,0.4679739554201293,0.467973955420129,0.5320260445798708,0.5320260445798709,0.1975,0.8229166666666666,0.31854838709677413,70,True,2026-09-17T03:15:04Z__pid29540
Poly,202,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.4679739554201293,0.467973955420129,0.9359479108402583,0.4679739554201293,0.467973955420129,0.5320260445798708,0.5320260445798709,0.16,0.6666666666666666,0.25806451612903225,70,True,2026-09-17T03:15:04Z__pid29540
Poly,202,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.28316053173962136,0.2831605317396212,0.5663210634792426,0.28316053173962136,0.2831605317396212,0.7168394682603788,0.7168394682603789,0.1958333333333333,0.8159722222222222,0.3158602150537634,131,True,2026-09-17T03:15:02Z__pid29540
Poly,202,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.28316053173962136,0.2831605317396212,0.5663210634792426,0.28316053173962136,0.2831605317396212,0.7168394682603788,0.7168394682603789,0.16,0.6666666666666666,0.25806451612903225,131,True,2026-09-17T03:15:02Z__pid29540
Poly,202,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.15732873424073754,0.1573287342407374,0.3146574684814749,0.15732873424073754,0.1573287342407374,0.8426712657592625,0.8426712657592628,0.1975,0.8229166666666666,0.3185483870967742,249,True,2026-09-17T03:15:04Z__pid29540
Poly,202,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.15732873424073754,0.1573287342407374,0.3146574684814749,0.15732873424073754,0.1573287342407374,0.8426712657592625,0.8426712657592628,0.16,0.6666666666666666,0.25806451612903225,249,True,2026-09-17T03:15:04Z__pid29540
Poly,202,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.0831638158882583,0.0831638158882582,0.1663276317765165,0.0831638158882583,0.0831638158882582,0.9168361841117416,0.9168361841117418,0.19916666666666663,0.829861111111111,0.32123655913978494,477,True,2026-09-17T03:15:04Z__pid29540
Poly,202,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.0831638158882583,0.0831638158882582,0.1663276317765165,0.0831638158882583,0.0831638158882582,0.9168361841117416,0.9168361841117418,0.16,0.6666666666666666,0.25806451612903225,477,True,2026-09-17T03:15:04Z__pid29540
Poly,203,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7474861987902514,0.7474861987902512,1.4949723975805025,0.7474861987902514,0.7474861987902512,0.25251380120974887,0.25251380120974887,0.19916666666666663,0.8298611111111112,0.32123655913978494,33,True,2026-09-17T03:15:06Z__pid29540
Poly,203,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7474861987902514,0.7474861987902512,1.4949723975805025,0.7474861987902514,0.7474861987902512,0.25251380120974887,0.25251380120974887,0.15979166666666667,0.6631944444444443,0.25749586435070304,33,True,2026-09-17T03:15:06Z__pid29540
Poly,203,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.4702321029876667,0.47023210298766677,0.9404642059753334,0.4702321029876667,0.47023210298766677,0.5297678970123335,0.5297678970123335,0.19916666666666663,0.8298611111111112,0.32123655913978494,70,True,2026-09-17T03:15:07Z__pid29540
Poly,203,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.4702321029876667,0.47023210298766677,0.9404642059753334,0.4702321029876667,0.47023210298766677,0.5297678970123335,0.5297678970123335,0.16,0.6666666666666666,0.25806451612903225,70,True,2026-09-17T03:15:07Z__pid29540
Poly,203,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.28460735993465947,0.2846073599346596,0.569214719869319,0.28460735993465947,0.2846073599346596,0.7153926400653405,0.7153926400653405,0.1975,0.8229166666666666,0.3185483870967742,131,True,2026-09-17T03:15:05Z__pid29540
Poly,203,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.28460735993465947,0.2846073599346596,0.569214719869319,0.28460735993465947,0.2846073599346596,0.7153926400653405,0.7153926400653405,0.16,0.6666666666666666,0.25806451612903225,131,True,2026-09-17T03:15:05Z__pid29540
Poly,203,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.1581494409773397,0.15814944097733952,0.31629888195467926,0.1581494409773397,0.15814944097733952,0.8418505590226604,0.8418505590226604,0.19666666666666666,0.8194444444444445,0.3172043010752688,249,True,2026-09-17T03:15:07Z__pid29540
Poly,203,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.1581494409773397,0.15814944097733952,0.31629888195467926,0.1581494409773397,0.15814944097733952,0.8418505590226604,0.8418505590226604,0.16,0.6666666666666666,0.25806451612903225,249,True,2026-09-17T03:15:07Z__pid29540
Poly,203,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.08360205670530285,0.08360205670530266,0.1672041134106055,0.08360205670530285,0.08360205670530266,0.9163979432946971,0.9163979432946971,0.19666666666666668,0.8194444444444445,0.3172043010752688,478,True,2026-09-17T03:15:07Z__pid29540
Poly,203,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.08360205670530285,0.08360205670530266,0.1672041134106055,0.08360205670530285,0.08360205670530266,0.9163979432946971,0.9163979432946971,0.16,0.6666666666666666,0.25806451612903225,478,True,2026-09-17T03:15:07Z__pid29540
Poly,204,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7384851657772104,0.7384851657772105,1.476970331554421,0.7384851657772104,0.7384851657772105,0.2615148342227896,0.2615148342227896,0.1975,0.8229166666666666,0.31854838709677413,33,True,2026-09-17T03:15:09Z__pid29540
Poly,204,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7384851657772104,0.7384851657772105,1.476970331554421,0.7384851657772104,0.7384851657772105,0.2615148342227896,0.2615148342227896,0.16,0.6666666666666666,0.25806451612903225,33,True,2026-09-17T03:15:09Z__pid29540
Poly,204,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.4612485170626468,0.4612485170626469,0.9224970341252937,0.4612485170626468,0.4612485170626469,0.5387514829373534,0.5387514829373534,0.1958333333333333,0.8159722222222222,0.3158602150537634,70,True,2026-09-17T03:15:10Z__pid29540
Poly,204,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.4612485170626468,0.4612485170626469,0.9224970341252937,0.4612485170626468,0.4612485170626469,0.5387514829373534,0.5387514829373534,0.16,0.6666666666666666,0.25806451612903225,70,True,2026-09-17T03:15:10Z__pid29540
Poly,204,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.27821664957423253,0.2782166495742328,0.5564332991484653,0.27821664957423253,0.2782166495742328,0.7217833504257675,0.7217833504257675,0.19666666666666666,0.8194444444444443,0.31720430107526876,131,True,2026-09-17T03:15:08Z__pid29540
Poly,204,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.27821664957423253,0.2782166495742328,0.5564332991484653,0.27821664957423253,0.2782166495742328,0.7217833504257675,0.7217833504257675,0.16,0.6666666666666666,0.25806451612903225,131,True,2026-09-17T03:15:08Z__pid29540
Poly,204,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.1542953472005646,0.15429534720056443,0.308590694401129,0.1542953472005646,0.15429534720056443,0.8457046527994354,0.8457046527994354,0.1975,0.8229166666666666,0.31854838709677413,248,True,2026-09-17T03:15:10Z__pid29540
Poly,204,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.1542953472005646,0.15429534720056443,0.308590694401129,0.1542953472005646,0.15429534720056443,0.8457046527994354,0.8457046527994354,0.16,0.6666666666666666,0.25806451612903225,248,True,2026-09-17T03:15:10Z__pid29540
Poly,204,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.08147731223909925,0.08147731223909949,0.16295462447819875,0.08147731223909925,0.08147731223909949,0.9185226877609008,0.9185226877609008,0.19416666666666668,0.8090277777777777,0.31317204301075263,477,True,2026-09-17T03:15:10Z__pid29540
Poly,204,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.08147731223909925,0.08147731223909949,0.16295462447819875,0.08147731223909925,0.08147731223909949,0.9185226877609008,0.9185226877609008,0.16,0.6666666666666666,0.25806451612903225,477,True,2026-09-17T03:15:10Z__pid29540
Poly,205,5.0,0.05,0.1,CONDITIONAL_UOT_D4,0.7470591609957697,0.7470591609957695,1.4941183219915393,0.7470591609957697,0.7470591609957695,0.25294083900423037,0.25294083900423037,0.19666666666666668,0.8194444444444443,0.31720430107526876,33,True,2026-09-17T03:15:12Z__pid29540
Poly,205,5.0,0.05,0.1,RAW_UOT_PLAN_D4,0.7470591609957697,0.7470591609957695,1.4941183219915393,0.7470591609957697,0.7470591609957695,0.25294083900423037,0.25294083900423037,0.16,0.6666666666666666,0.25806451612903225,33,True,2026-09-17T03:15:12Z__pid29540
Poly,205,5.0,0.05,0.25,CONDITIONAL_UOT_D4,0.4702340228883075,0.4702340228883074,0.9404680457766149,0.4702340228883075,0.4702340228883074,0.5297659771116927,0.5297659771116927,0.1975,0.8229166666666666,0.3185483870967742,70,True,2026-09-17T03:15:12Z__pid29540
Poly,205,5.0,0.05,0.25,RAW_UOT_PLAN_D4,0.4702340228883075,0.4702340228883074,0.9404680457766149,0.4702340228883075,0.4702340228883074,0.5297659771116927,0.5297659771116927,0.16,0.6666666666666666,0.25806451612903225,70,True,2026-09-17T03:15:12Z__pid29540
Poly,205,5.0,0.05,0.5,CONDITIONAL_UOT_D4,0.2848238051807682,0.2848238051807683,0.5696476103615364,0.2848238051807682,0.2848238051807683,0.7151761948192318,0.7151761948192318,0.1958333333333333,0.8159722222222223,0.31586021505376344,131,True,2026-09-17T03:15:11Z__pid29540
Poly,205,5.0,0.05,0.5,RAW_UOT_PLAN_D4,0.2848238051807682,0.2848238051807683,0.5696476103615364,0.2848238051807682,0.2848238051807683,0.7151761948192318,0.7151761948192318,0.16,0.6666666666666666,0.25806451612903225,131,True,2026-09-17T03:15:11Z__pid29540
Poly,205,5.0,0.05,1.0,CONDITIONAL_UOT_D4,0.15836916130443382,0.1583691613044334,0.31673832260886725,0.15836916130443382,0.1583691613044334,0.8416308386955662,0.8416308386955662,0.19666666666666668,0.8194444444444443,0.31720430107526876,249,True,2026-09-17T03:15:13Z__pid29540
Poly,205,5.0,0.05,1.0,RAW_UOT_PLAN_D4,0.15836916130443382,0.1583691613044334,0.31673832260886725,0.15836916130443382,0.1583691613044334,0.8416308386955662,0.8416308386955662,0.16,0.6666666666666666,0.25806451612903225,249,True,2026-09-17T03:15:13Z__pid29540
Poly,205,5.0,0.05,2.0,CONDITIONAL_UOT_D4,0.08375142136315882,0.08375142136315922,0.16750284272631805,0.08375142136315882,0.08375142136315922,0.9162485786368412,0.9162485786368412,0.1975,0.8229166666666666,0.31854838709677413,477,True,2026-09-17T03:15:13Z__pid29540
Poly,205,5.0,0.05,2.0,RAW_UOT_PLAN_D4,0.08375142136315882,0.08375142136315922,0.16750284272631805,0.08375142136315882,0.08375142136315922,0.9162485786368412,0.9162485786368412,0.16,0.6666666666666666,0.25806451612903225,477,True,2026-09-17T03:15:13Z__pid29540
