sweep,parameter,parameter_value,method,k,epsilon,lambda,n_bridges,n_seeds,n_cells,seeds,macro_edge_f1_mean_of_cells,macro_edge_f1_std_of_cells,precision_mean_of_cells,recall_mean_of_cells,micro_edge_f1_mean_of_cells,mean_n_pred_edges,mean_sinkhorn_iterations,max_sinkhorn_final_residual,n_converged_cells,all_converged,mean_delta_s_total,mean_delta_t_total,mean_delta_total,mean_transport_mass_total,mean_mass_retained_fraction,mean_macro_edge_f1_Celer,std_macro_edge_f1_Celer,mean_precision_Celer,std_precision_Celer,mean_recall_Celer,std_recall_Celer,n_seeds_Celer,mean_macro_edge_f1_Multi,std_macro_edge_f1_Multi,mean_precision_Multi,std_precision_Multi,mean_recall_Multi,std_recall_Multi,n_seeds_Multi,mean_macro_edge_f1_Poly,std_macro_edge_f1_Poly,mean_precision_Poly,std_precision_Poly,mean_recall_Poly,std_recall_Poly,n_seeds_Poly,std_over_seeds_macro_edge_f1
k,k,15.0,CONDITIONAL_UOT_D4,15.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.2588960185618657,0.009072002223758351,0.15053524202135313,0.986111111111111,0.2434218073575397,2048.2,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.2606466672574795,0.0075949008402787874,0.15082907447490781,0.004795780627448543,1.0,0.0,5,0.24934775678122753,0.005691577769435475,0.14610844171260837,0.0030210777284296643,0.9583333333333334,0.01917597398817234,5,0.26669363164689025,0.0020449093622635192,0.1546682098765432,0.0012801257235933756,1.0,0.0,5,0.008804454659738895
k,k,15.0,RAW_UOT_PLAN_D4,15.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.25167249751236,0.018230874283826918,0.14677030643566655,0.9354166666666667,0.25060473189410504,1865.2666666666667,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.2460351438517332,0.01276394693249952,0.14219683211572248,0.007721431997855758,0.9555555555555555,0.036034239761443355,5,0.23594760179116298,0.00794085378660651,0.13950476040178475,0.005385326458436523,0.8506944444444444,0.04308914460413496,5,0.27303474689418383,0.004248996280606594,0.1586093267894924,0.0027373596135364512,1.0,0.0,5,0.019175476531089593
lambda,lambda,0.1,CONDITIONAL_UOT_D4,5.0,0.05,0.1,3,5,15,"201,202,203,204,205",0.3130096326164874,0.012221739535172024,0.19447222222222224,0.8057870370370369,0.3163188289767854,1178.6666666666667,32.93333333333333,7.667331476552235e-12,15,True,0.7586991927299996,0.7586991927299994,1.5173983854599993,0.24130080727000044,0.24130080727000044,0.31962365591397845,0.0017524737648394182,0.19816666666666666,0.0010865337342004303,0.8256944444444445,0.0045272238925018705,5,0.30058803763440856,0.015094623107766608,0.18758333333333332,0.009393038202129634,0.7680555555555556,0.03892917060603879,5,0.31881720430107524,0.0014723724664117534,0.19766666666666666,0.0009128709291752561,0.8236111111111111,0.003803628871563716,5,0.010764971317894627
lambda,lambda,0.1,RAW_UOT_PLAN_D4,5.0,0.05,0.1,3,5,15,"201,202,203,204,205",0.23515021231755107,0.022889706835235998,0.14760076960076962,0.5960648148148148,0.25098079089035846,1076.4666666666667,32.93333333333333,7.667331476552235e-12,15,True,0.7586991927299996,0.7586991927299994,1.5173983854599993,0.24130080727000044,0.24130080727000044,0.2370742161064742,0.015605368173615717,0.1473125,0.009416113553077213,0.6083333333333332,0.04325669861777063,5,0.21053936542847831,0.013603320180680525,0.13557314213564214,0.009152700664868323,0.5145833333333333,0.039467422884396704,5,0.2578370554177006,0.0003114634063563357,0.15991666666666668,0.00011410886614691224,0.6652777777777776,0.001901814435781881,5,0.023707471660090348
lambda,lambda,0.25,CONDITIONAL_UOT_D4,5.0,0.05,0.25,3,5,15,"201,202,203,204,205",0.3130152329749103,0.011756160069012662,0.19444444444444448,0.8060185185185184,0.31614016336587547,1180.0,70.0,9.776127413643635e-12,15,True,0.4838885399350988,0.4838885399350988,0.9677770798701976,0.5161114600649015,0.5161114600649015,0.31962365591397845,0.0030649877018794234,0.19816666666666666,0.00190029237516523,0.8256944444444445,0.007917884896521805,5,0.3016801075268817,0.014978113843189925,0.18816666666666668,0.009329054078522648,0.7715277777777778,0.03846181668346654,5,0.317741935483871,0.0026201060066690968,0.19699999999999998,0.0016244657241348286,0.8208333333333334,0.006768607183895127,5,0.00986149175511402
lambda,lambda,0.25,RAW_UOT_PLAN_D4,5.0,0.05,0.25,3,5,15,"201,202,203,204,205",0.237194288238643,0.022866369455972084,0.1485109649122807,0.6034722222222222,0.2518142384150279,1089.0,70.0,9.776127413643635e-12,15,True,0.4838885399350988,0.4838885399350988,0.9677770798701976,0.5161114600649015,0.5161114600649015,0.24303417550191742,0.010519066940113533,0.15090789473684213,0.0063797825307345705,0.6249999999999999,0.028946756945369922,5,0.21048417308497952,0.015508740417610726,0.13462500000000002,0.009781854569530497,0.51875,0.043961679265323336,5,0.25806451612903225,0.0,0.16,0.0,0.6666666666666666,0.0,5,0.024321810653881212
lambda,lambda,0.5,CONDITIONAL_UOT_D4,5.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.3129093352883675,0.010687014858812245,0.19450000000000003,0.8053240740740738,0.3155896555077505,1181.3333333333333,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.31908602150537635,0.002787156095877398,0.1978333333333333,0.0017280367794439485,0.8243055555555555,0.007200153247683254,5,0.3029753176930596,0.014206948601556742,0.1893333333333333,0.008114844080106808,0.7736111111111111,0.03892917060603876,5,0.31666666666666665,0.0012021870846773176,0.1963333333333333,0.0007453559924999425,0.8180555555555555,0.003105649968749647,5,0.008687741285674453
lambda,lambda,0.5,RAW_UOT_PLAN_D4,5.0,0.05,0.5,3,5,15,"201,202,203,204,205",0.23742822838252942,0.022851113025261306,0.1485115740740741,0.6050925925925925,0.25226057435490484,1090.4666666666667,130.93333333333334,9.676434981380345e-12,15,True,0.2956620875851131,0.29566208758511314,0.5913241751702263,0.704337912414887,0.704337912414887,0.243631100082713,0.009971252218018438,0.15116666666666667,0.006130099917619604,0.6277777777777777,0.02648920989272312,5,0.21058906893584312,0.015727057117227394,0.1343680555555556,0.010008026292820073,0.5208333333333333,0.044398305043556956,5,0.25806451612903225,0.0,0.16,0.0,0.6666666666666666,0.0,5,0.024337958717711432
lambda,lambda,1.0,CONDITIONAL_UOT_D4,5.0,0.05,1.0,3,5,15,"201,202,203,204,205",0.3132840501792114,0.010263875096735847,0.19461111111111112,0.8067129629629627,0.31585878671347506,1182.6666666666667,248.93333333333334,9.948706569741312e-12,15,True,0.16557109859422023,0.16539798403875522,0.3309690826329755,0.8346020159612448,0.834602015961245,0.31881720430107524,0.0011245430464167441,0.19766666666666668,0.0006972166887783892,0.8236111111111111,0.002905069536576681,5,0.30356182795698916,0.013705059434324898,0.18933333333333333,0.0083260384737681,0.7763888888888889,0.03663153304139697,5,0.31747311827956987,0.0011245430464167574,0.19683333333333333,0.0006972166887784007,0.820138888888889,0.0029050695365766413,5,0.008446469411061936
lambda,lambda,1.0,RAW_UOT_PLAN_D4,5.0,0.05,1.0,3,5,15,"201,202,203,204,205",0.23762045948873897,0.022629398261339122,0.1486412037037037,0.6055555555555555,0.2523640167139683,1091.0666666666666,248.93333333333334,9.948706569741312e-12,15,True,0.16557109859422023,0.16539798403875522,0.3309690826329755,0.8346020159612448,0.834602015961245,0.243631100082713,0.009971252218018438,0.15116666666666667,0.006130099917619604,0.6277777777777777,0.02648920989272312,5,0.21116576225447195,0.01582609037406196,0.13475694444444444,0.010053987178180231,0.5222222222222221,0.0439616792653233,5,0.25806451612903225,0.0,0.16,0.0,0.6666666666666666,0.0,5,0.024020181702249704
